Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
ARI,NL,2022,702,740,74,0.304,0.385,0.23,0,,,162,0.315,0.414
ATL,NL,2022,789,609,101,0.317,0.443,0.253,1,,,162,0.297,0.357
BAL,AL,2022,674,688,83,0.305,0.39,0.236,0,,,162,0.317,0.407
BOS,AL,2022,735,787,78,0.321,0.409,0.258,0,,,162,0.326,0.419
CHC,NL,2022,657,731,74,0.311,0.387,0.238,0,,,162,0.318,0.414
CHW,AL,2022,686,717,81,0.31,0.387,0.256,0,,,162,0.312,0.387
CIN,NL,2022,648,815,62,0.304,0.372,0.235,0,,,162,0.336,0.429
CLE,AL,2022,698,634,92,0.316,0.383,0.254,1,,,162,0.29,0.37
COL,NL,2022,698,873,68,0.315,0.398,0.254,0,,,162,0.34,0.446
DET,AL,2022,557,713,66,0.286,0.346,0.231,0,,,162,0.316,0.394
HOU,NL,2022,737,518,106,0.319,0.424,0.248,1,,,162,0.278,0.33
KCR,AL,2022,640,810,65,0.306,0.38,0.244,0,,,162,0.346,0.425
LAA,AL,2022,623,668,73,0.297,0.39,0.233,0,,,162,0.306,0.379
LAD,NL,2022,847,513,111,0.333,0.442,0.257,1,,,162,0.273,0.345
MIA,NL,2022,586,676,69,0.294,0.363,0.23,0,,,162,0.314,0.405
MIL,NL,2022,725,688,86,0.315,0.409,0.235,0,,,162,0.302,0.388
MIN,AL,2022,696,684,78,0.317,0.401,0.248,0,,,162,0.307,0.4
NYM,NL,2022,772,606,101,0.332,0.412,0.259,1,,,162,0.299,0.377
NYY,AL,2022,807,567,99,0.325,0.426,0.241,1,,,162,0.286,0.356
OAK,AL,2022,568,770,60,0.281,0.346,0.216,0,,,162,0.323,0.428
PHI,NL,2022,747,685,87,0.317,0.422,0.253,1,,,162,0.307,0.386
PIT,NL,2022,591,817,62,0.291,0.364,0.222,0,,,162,0.337,0.411
SDP,NL,2022,705,660,89,0.318,0.382,0.241,1,,,162,0.301,0.38
SEA,AL,2022,690,623,90,0.315,0.39,0.23,1,,,162,0.298,0.39
SFG,NL,2022,716,697,81,0.315,0.39,0.234,0,,,162,0.313,0.39
STL,NL,2022,772,637,93,0.325,0.42,0.252,1,,,162,0.314,0.38
TBR,AL,2022,666,614,86,0.309,0.377,0.239,1,,,162,0.289,0.377
TEX,AL,2022,707,743,68,0.301,0.395,0.239,0,,,162,0.325,0.397
TOR,AL,2022,775,679,92,0.329,0.431,0.264,1,,,162,0.308,0.4
WSN,NL,2022,603,855,55,0.31,0.377,0.249,0,,,162,0.339,0.452
ARI,NL,2021,679,893,52,0.309,0.382,0.236,0,,,162,0.339,0.468
ATL,NL,2021,790,656,88,0.319,0.435,0.244,1,,,161,0.308,0.387
BAL,AL,2021,659,956,52,0.304,0.402,0.239,0,,,162,0.344,0.473
BOS,AL,2021,829,749,92,0.328,0.449,0.261,1,,,162,0.329,0.418
CHC,NL,2021,705,839,71,0.312,0.407,0.237,0,,,162,0.337,0.442
CHW,AL,2021,796,636,93,0.336,0.422,0.256,1,,,162,0.3,0.382
CIN,NL,2021,786,760,83,0.328,0.431,0.249,0,,,162,0.327,0.417
CLE,AL,2021,717,727,80,0.303,0.407,0.238,0,,,162,0.313,0.417
COL,NL,2021,739,796,74,0.317,0.414,0.249,0,,,161,0.332,0.435
DET,AL,2021,697,756,77,0.308,0.399,0.242,0,,,162,0.329,0.419
HOU,NL,2021,863,658,95,0.339,0.444,0.267,1,,,162,0.307,0.385
KCR,AL,2021,686,788,74,0.306,0.396,0.249,0,,,162,0.332,0.415
LAA,AL,2021,723,804,77,0.31,0.407,0.245,0,,,162,0.33,0.41
LAD,NL,2021,830,561,106,0.33,0.429,0.244,1,,,162,0.28,0.345
MIA,NL,2021,623,701,67,0.298,0.372,0.233,0,,,162,0.317,0.4
MIL,NL,2021,738,623,95,0.317,0.396,0.233,1,,,162,0.298,0.358
MIN,AL,2021,729,834,73,0.314,0.423,0.241,0,,,162,0.32,0.45
NYM,NL,2021,636,668,77,0.315,0.391,0.239,0,,,162,0.307,0.4
NYY,AL,2021,711,669,92,0.322,0.407,0.237,1,,,162,0.3,0.389
OAK,AL,2021,743,687,86,0.317,0.406,0.238,0,,,162,0.309,0.403
PHI,NL,2021,734,745,82,0.318,0.408,0.24,0,,,162,0.316,0.413
PIT,NL,2021,609,833,61,0.309,0.364,0.236,0,,,162,0.341,0.446
SDP,NL,2021,729,708,79,0.321,0.401,0.242,0,,,162,0.312,0.41
SEA,AL,2021,697,748,90,0.303,0.385,0.226,0,,,162,0.314,0.416
SFG,NL,2021,804,594,107,0.329,0.44,0.249,0,,,162,0.29,0.366
STL,NL,2021,706,672,90,0.313,0.412,0.244,1,,,162,0.32,0.374
TBR,AL,2021,857,651,100,0.321,0.429,0.243,1,,,162,0.296,0.391
TEX,AL,2021,625,815,60,0.294,0.375,0.232,0,,,162,0.325,0.436
TOR,AL,2021,846,663,91,0.33,0.466,0.266,0,,,162,0.305,0.407
